url,path_slug,filename
https://www.odoo.com/documentation/18.0/applications/finance/accounting/customer_invoices/electronic_invoicing/chile.html,finance/accounting/customer_invoices/electronic_invoicing/chile,chile.html
https://www.odoo.com/documentation/18.0/applications/finance/accounting/customer_invoices/electronic_invoicing/colombia.html,finance/accounting/customer_invoices/electronic_invoicing/colombia,colombia.html
https://www.odoo.com/documentation/18.0/applications/finance/accounting/customer_invoices/electronic_invoicing/croatia.html,finance/accounting/customer_invoices/electronic_invoicing/croatia,croatia.html
https://www.odoo.com/documentation/18.0/applications/finance/accounting/customer_invoices/electronic_invoicing/ecuador.html,finance/accounting/customer_invoices/electronic_invoicing/ecuador,ecuador.html
https://www.odoo.com/documentation/18.0/applications/finance/accounting/customer_invoices/electronic_invoicing/estonia.html,finance/accounting/customer_invoices/electronic_invoicing/estonia,estonia.html
https://www.odoo.com/documentation/18.0/applications/finance/accounting/customer_invoices/electronic_invoicing/finland.html,finance/accounting/customer_invoices/electronic_invoicing/finland,finland.html
https://www.odoo.com/documentation/18.0/applications/finance/accounting/customer_invoices/electronic_invoicing/guatemala.html,finance/accounting/customer_invoices/electronic_invoicing/guatemala,guatemala.html
https://www.odoo.com/documentation/18.0/applications/finance/accounting/customer_invoices/electronic_invoicing/hungary.html,finance/accounting/customer_invoices/electronic_invoicing/hungary,hungary.html
https://www.odoo.com/documentation/18.0/applications/finance/accounting/customer_invoices/electronic_invoicing/ireland.html,finance/accounting/customer_invoices/electronic_invoicing/ireland,ireland.html
https://www.odoo.com/documentation/18.0/applications/finance/accounting/customer_invoices/electronic_invoicing/italy.html,finance/accounting/customer_invoices/electronic_invoicing/italy,italy.html
https://www.odoo.com/documentation/18.0/applications/finance/accounting/customer_invoices/electronic_invoicing/latvia.html,finance/accounting/customer_invoices/electronic_invoicing/latvia,latvia.html
https://www.odoo.com/documentation/18.0/applications/finance/accounting/customer_invoices/electronic_invoicing/lithuania.html,finance/accounting/customer_invoices/electronic_invoicing/lithuania,lithuania.html
https://www.odoo.com/documentation/18.0/applications/finance/accounting/customer_invoices/electronic_invoicing/luxembourg.html,finance/accounting/customer_invoices/electronic_invoicing/luxembourg,luxembourg.html
https://www.odoo.com/documentation/18.0/applications/finance/accounting/customer_invoices/electronic_invoicing/mexico.html,finance/accounting/customer_invoices/electronic_invoicing/mexico,mexico.html
https://www.odoo.com/documentation/18.0/applications/finance/accounting/customer_invoices/electronic_invoicing/netherlands.html,finance/accounting/customer_invoices/electronic_invoicing/netherlands,netherlands.html
